,material_id,cif,formula,heat_all,heat_ref,dir_gap,ind_gap
13728,10279,"# generated using pymatgen
data_CuAsSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34141159
_cell_length_b   4.34141159
_cell_length_c   4.34141159
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CuAsSO2
_chemical_formula_sum   'Cu1 As1 S1 O2'
_cell_volume   81.82629423
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.29436098  0.00000000  0.00000000  1
  As  As1  1  0.54962780  0.50000000  0.50000000  1
  S  S2  1  0.30689326  0.00000000  0.50000000  1
  O  O3  1  0.42784540  0.50000000  0.00000000  1
  O  O4  1  -0.05515372  0.50000000  0.50000000  1
",CuAsO2S,0.82,0.8286985492154443,0.0,0.0
8370,13521,"# generated using pymatgen
data_MnSbO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.08114631
_cell_length_b   4.08114631
_cell_length_c   4.08114631
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MnSbO3
_chemical_formula_sum   'Mn1 Sb1 O3'
_cell_volume   67.97457380
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.18175892  0.00000000  0.00000000  1
  Sb  Sb1  1  0.52701483  0.50000000  0.50000000  1
  O  O2  1  0.43719431  -0.00000000  0.50000000  1
  O  O3  1  0.43719431  0.50000000  0.00000000  1
  O  O4  1  0.00744286  0.50000000  0.50000000  1
",MnSbO3,0.56,0.5649610136211486,0.0,0.0
18472,7085,"# generated using pymatgen
data_SiBiN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.76973394
_cell_length_b   3.76973394
_cell_length_c   3.76973394
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SiBiN2O
_chemical_formula_sum   'Si1 Bi1 N2 O1'
_cell_volume   53.57128946
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi0  1  0.00330320  0.00000000  0.00000000  1
  Si  Si1  1  0.50386450  0.50000000  0.50000000  1
  N  N2  1  0.50099633  -0.00000000  0.50000000  1
  N  N3  1  0.50099633  0.50000000  -0.00000000  1
  O  O4  1  0.00099404  0.50000000  0.50000000  1
",BiSiON2,0.98,0.9788049920179888,0.0,0.0
4246,10041,"# generated using pymatgen
data_CsAuSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.69930588
_cell_length_b   4.69930588
_cell_length_c   4.69930588
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsAuSO2
_chemical_formula_sum   'Cs1 Au1 S1 O2'
_cell_volume   103.77700771
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  -0.02586677  0.00000000  -0.00000000  1
  Au  Au1  1  0.56910341  0.50000000  0.50000000  1
  S  S2  1  0.44763128  -0.00000000  0.50000000  1
  O  O3  1  0.50469533  0.50000000  -0.00000000  1
  O  O4  1  0.00702974  0.50000000  0.50000000  1
",CsAuO2S,1.82,1.4596104420268066,0.0,0.0
14619,16593,"# generated using pymatgen
data_CsRbN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.92220919
_cell_length_b   4.92220919
_cell_length_c   4.92220919
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsRbN3
_chemical_formula_sum   'Cs1 Rb1 N3'
_cell_volume   119.25598990
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.00029164  -0.00000000  -0.00000000  1
  Rb  Rb1  1  0.50369172  0.50000000  0.50000000  1
  N  N2  1  0.50008052  0.00000000  0.50000000  1
  N  N3  1  0.50008052  0.50000000  0.00000000  1
  N  N4  1  0.00533110  0.50000000  0.50000000  1
",CsRbN3,4.24,3.0217855966120064,0.0,0.0
17564,4401,"# generated using pymatgen
data_RbVNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.13138105
_cell_length_b   4.13138105
_cell_length_c   4.13138105
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbVNOF
_chemical_formula_sum   'Rb1 V1 N1 O1 F1'
_cell_volume   70.51569000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.00153426  0.00000000  0.00000000  1
  V  V1  1  0.50873207  0.50000000  0.50000000  1
  F  F2  1  0.50025732  0.00000000  0.50000000  1
  N  N3  1  0.50282254  0.50000000  0.00000000  1
  O  O4  1  -0.00402422  0.50000000  0.50000000  1
",RbVOFN,0.82,0.5683944681248796,0.0,0.0
297,18212,"# generated using pymatgen
data_RuPbN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.02252384
_cell_length_b   4.02252384
_cell_length_c   4.02252384
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RuPbN3
_chemical_formula_sum   'Ru1 Pb1 N3'
_cell_volume   65.08724365
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pb  Pb0  1  0.00946453  -0.00000000  -0.00000000  1
  Ru  Ru1  1  0.50200850  0.50000000  0.50000000  1
  N  N2  1  0.50031472  -0.00000000  0.50000000  1
  N  N3  1  0.50031472  0.50000000  0.00000000  1
  N  N4  1  -0.00077991  0.50000000  0.50000000  1
",PbRuN3,1.32,1.321174534250617,0.0,0.0
14148,16252,"# generated using pymatgen
data_NiSnN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.87477550
_cell_length_b   3.87477550
_cell_length_c   3.87477550
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NiSnN3
_chemical_formula_sum   'Ni1 Sn1 N3'
_cell_volume   58.17543447
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sn  Sn0  1  0.12294783  -0.00000000  -0.00000000  1
  Ni  Ni1  1  0.52373828  0.50000000  0.50000000  1
  N  N2  1  0.40141303  -0.00000000  0.50000000  1
  N  N3  1  0.40141303  0.50000000  0.00000000  1
  N  N4  1  -0.02066346  0.50000000  0.50000000  1
",SnNiN3,1.44,1.4158645070312077,0.0,0.0
3384,14985,"# generated using pymatgen
data_ZrSnO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.19179975
_cell_length_b   4.19179975
_cell_length_c   4.19179975
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrSnO3
_chemical_formula_sum   'Zr1 Sn1 O3'
_cell_volume   73.65488930
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sn  Sn0  1  0.00112253  0.00000000  -0.00000000  1
  Zr  Zr1  1  0.50628152  0.50000000  0.50000000  1
  O  O2  1  0.49983605  -0.00000000  0.50000000  1
  O  O3  1  0.49983605  0.50000000  0.00000000  1
  O  O4  1  0.00314090  0.50000000  0.50000000  1
",SnZrO3,0.2,0.2031985142453635,4.5,4.5
4748,5581,"# generated using pymatgen
data_KSrN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.78437990
_cell_length_b   4.78437990
_cell_length_c   4.78437990
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KSrN2O
_chemical_formula_sum   'K1 Sr1 N2 O1'
_cell_volume   109.51584828
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.00055819  -0.00000000  0.00000000  1
  Sr  Sr1  1  0.50549028  0.50000000  0.50000000  1
  N  N2  1  0.49974383  -0.00000000  0.50000000  1
  N  N3  1  0.49974383  0.50000000  0.00000000  1
  O  O4  1  0.00524112  0.50000000  0.50000000  1
",KSrON2,2.74,1.8447953632359424,0.0,0.0
11188,6204,"# generated using pymatgen
data_GaRhN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.88107152
_cell_length_b   3.88107152
_cell_length_c   3.88107152
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GaRhN2O
_chemical_formula_sum   'Ga1 Rh1 N2 O1'
_cell_volume   58.45947874
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rh  Rh0  1  0.00042918  0.00000000  0.00000000  1
  Ga  Ga1  1  0.50551749  0.50000000  0.50000000  1
  N  N2  1  0.49964712  0.00000000  0.50000000  1
  N  N3  1  0.49964712  0.50000000  0.00000000  1
  O  O4  1  0.00457519  0.50000000  0.50000000  1
",RhGaON2,1.94,1.9336281965708344,0.0,0.0
13714,17535,"# generated using pymatgen
data_TiGaN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.96015407
_cell_length_b   3.96015407
_cell_length_c   3.96015407
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiGaN3
_chemical_formula_sum   'Ti1 Ga1 N3'
_cell_volume   62.10638464
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ga  Ga0  1  0.00052032  0.00000000  0.00000000  1
  Ti  Ti1  1  0.50503093  0.50000000  0.50000000  1
  N  N2  1  0.49997047  0.00000000  0.50000000  1
  N  N3  1  0.49997047  0.50000000  0.00000000  1
  N  N4  1  0.00426856  0.50000000  0.50000000  1
",GaTiN3,1.5,1.4954036690340125,0.0,0.0
10470,15077,"# generated using pymatgen
data_KSbO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00199472
_cell_length_b   4.00199472
_cell_length_c   4.00199472
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KSbO3
_chemical_formula_sum   'K1 Sb1 O3'
_cell_volume   64.09579419
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.00180281  0.00000000  0.00000000  1
  Sb  Sb1  1  0.50303387  0.50000000  0.50000000  1
  O  O2  1  0.50130346  0.00000000  0.50000000  1
  O  O3  1  0.50130346  0.50000000  0.00000000  1
  O  O4  1  0.00297873  0.50000000  0.50000000  1
",KSbO3,0.16,0.1626791039352852,1.4,0.7
9093,4815,"# generated using pymatgen
data_LaTaNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.66932400
_cell_length_b   4.66932400
_cell_length_c   4.66932400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaTaNOF
_chemical_formula_sum   'La1 Ta1 N1 O1 F1'
_cell_volume   101.80334085
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.00056845  0.00000000  0.00000000  1
  La  La1  1  0.50511685  0.50000000  0.50000000  1
  F  F2  1  0.49949325  0.00000000  0.50000000  1
  N  N3  1  0.50024548  0.50000000  0.00000000  1
  O  O4  1  0.00500002  0.50000000  0.50000000  1
",TaLaOFN,2.36,2.355973892406253,0.0,0.0
18922,5691,"# generated using pymatgen
data_BeAsN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.76405920
_cell_length_b   3.76405920
_cell_length_c   3.76405920
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BeAsN2O
_chemical_formula_sum   'Be1 As1 N2 O1'
_cell_volume   53.32972389
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Be  Be0  1  0.46427455  0.00000000  0.00000000  1
  As  As1  1  0.28508148  0.50000000  0.50000000  1
  N  N2  1  0.39177199  0.00000000  0.50000000  1
  N  N3  1  0.39177199  0.50000000  0.00000000  1
  O  O4  1  -0.18227202  0.50000000  0.50000000  1
",BeAsON2,1.56,1.5663584690811887,0.0,0.0
