Space Group,Wyckoff Positions
120,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '16i']"
121,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '8i', '16j']"
122,"['4a', '4b', '8c', '8d', '16e']"
123,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i', '4j', '4k', '4l', '4m', '4n', '4o', '8p', '8q', '8r', '8s', '8t', '16u']"
124,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i', '8j', '8k', '8l', '8m', '16n']"
125,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i', '8j', '8k', '8l', '8m', '16n']"
126,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '8i', '8j', '16k']"
127,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i', '8j', '8k', '16l']"
128,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '16i']"
129,"['2a', '2b', '2c', '4d', '4e', '4f', '8g', '8h', '8i', '8j', '16k']"
130,"['4a', '4b', '4c', '8d', '8e', '8f', '16g']"
131,"['2a', '2b', '2c', '2d', '2e', '2f', '4g', '4h', '4i', '4j', '4k', '4l', '4m', '8n', '8o', '8p', '8q', '16r']"
132,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '8k', '8l', '8m', '8n', '8o', '16p']"
133,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '8i', '8j', '16k']"
134,"['2a', '2b', '4c', '4d', '4e', '4f', '4g', '8h', '8i', '8j', '8k', '8l', '8m', '16n']"
135,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '16i']"
136,"['2a', '2b', '4c', '4d', '4e', '4f', '4g', '8h', '8i', '8j', '16k']"
137,"['2a', '2b', '4c', '4d', '8e', '8f', '8g', '16h']"
138,"['4a', '4b', '4c', '4d', '4e', '8f', '8g', '8h', '8i', '16j']"
139,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '8i', '8j', '16k', '16l', '16m', '16n', '32o']"
140,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '16i', '16j', '16k', '16l', '32m']"
141,"['4a', '4b', '8c', '8d', '8e', '16f', '16g', '16h', '32i']"
142,"['8a', '8b', '16c', '16d', '16e', '16f', '32g']"
143,"['1a', '1b', '1c', '3d']"
144,['3a']
145,['3a']
146,"['3a', '9b']"
147,"['1a', '1b', '2c', '2d', '3e', '3f', '6g']"
148,"['3a', '3b', '6c', '9d', '9e', '18f']"
149,"['1a', '1b', '1c', '1d', '1e', '1f', '2g', '2h', '2i', '3j', '3k', '6l']"
150,"['1a', '1b', '2c', '2d', '3e', '3f', '6g']"
151,"['3a', '3b', '6c']"
152,"['3a', '3b', '6c']"
153,"['3a', '3b', '6c']"
154,"['3a', '3b', '6c']"
155,"['3a', '3b', '6c', '9d', '9e', '18f']"
156,"['1a', '1b', '1c', '3d', '6e']"
157,"['1a', '2b', '3c', '6d']"
158,"['2a', '2b', '2c', '6d']"
159,"['2a', '2b', '6c']"
160,"['3a', '9b', '18c']"
161,"['6a', '18b']"
162,"['1a', '1b', '2c', '2d', '2e', '3f', '3g', '4h', '6i', '6j', '6k', '12l']"
163,"['2a', '2b', '2c', '2d', '4e', '4f', '6g', '6h', '12i']"
164,"['1a', '1b', '2c', '2d', '3e', '3f', '6g', '6h', '6i', '12j']"
165,"['2a', '2b', '4c', '4d', '6e', '6f', '12g']"
166,"['3a', '3b', '6c', '9d', '9e', '18f', '18g', '18h', '36i']"
167,"['6a', '6b', '12c', '18d', '18e', '36f']"
168,"['1a', '2b', '3c', '6d']"
169,['6a']
170,['6a']
171,"['3a', '3b', '6c']"
172,"['3a', '3b', '6c']"
173,"['2a', '2b', '6c']"
174,"['1a', '1b', '1c', '1d', '1e', '1f', '2g', '2h', '2i', '3j', '3k', '6l']"
175,"['1a', '1b', '2c', '2d', '2e', '3f', '3g', '4h', '6i', '6j', '6k', '12l']"
176,"['2a', '2b', '2c', '2d', '4e', '4f', '6g', '6h', '12i']"
177,"['1a', '1b', '2c', '2d', '2e', '3f', '3g', '4h', '6i', '6j', '6k', '6l', '6m', '12n']"
178,"['6a', '6b', '12c']"
179,"['6a', '6b', '12c']"
180,"['3a', '3b', '3c', '3d', '6e', '6f', '6g', '6h', '6i', '6j', '12k']"
181,"['3a', '3b', '3c', '3d', '6e', '6f', '6g', '6h', '6i', '6j', '12k']"
182,"['2a', '2b', '2c', '2d', '4e', '4f', '6g', '6h', '12i']"
183,"['1a', '2b', '3c', '6d', '6e', '12f']"
184,"['2a', '4b', '6c', '12d']"
185,"['2a', '4b', '6c', '12d']"
186,"['2a', '2b', '6c', '12d']"
187,"['1a', '1b', '1c', '1d', '1e', '1f', '2g', '2h', '2i', '3j', '3k', '6l', '6m', '6n', '12o']"
188,"['2a', '2b', '2c', '2d', '2e', '2f', '4g', '4h', '4i', '6j', '6k', '12l']"
189,"['1a', '1b', '2c', '2d', '2e', '3f', '3g', '4h', '6i', '6j', '6k', '12l']"
190,"['2a', '2b', '2c', '2d', '4e', '4f', '6g', '6h', '12i']"
191,"['1a', '1b', '2c', '2d', '2e', '3f', '3g', '4h', '6i', '6j', '6k', '6l', '6m', '12n', '12o', '12p', '12q', '24r']"
192,"['2a', '2b', '4c', '4d', '4e', '6f', '6g', '8h', '12i', '12j', '12k', '12l', '24m']"
193,"['2a', '2b', '4c', '4d', '4e', '6f', '6g', '8h', '12i', '12j', '12k', '24l']"
194,"['2a', '2b', '2c', '2d', '4e', '4f', '6g', '6h', '12i', '12j', '12k', '24l']"
195,"['1a', '1b', '3c', '3d', '4e', '6f', '6g', '6h', '6i', '12j']"
196,"['4a', '4b', '4c', '4d', '16e', '24f', '24g', '48h']"
197,"['2a', '6b', '8c', '12d', '12e', '24f']"
198,"['4a', '12b']"
199,"['8a', '12b', '24c']"
200,"['1a', '1b', '3c', '3d', '6e', '6f', '6g', '6h', '8i', '12j', '12k', '24l']"
201,"['2a', '4b', '4c', '6d', '8e', '12f', '12g', '24h']"
202,"['4a', '4b', '8c', '24d', '24e', '32f', '48g', '48h', '96i']"
203,"['8a', '8b', '16c', '16d', '32e', '48f', '96g']"
204,"['2a', '6b', '8c', '12d', '12e', '16f', '24g', '48h']"
205,"['4a', '4b', '8c', '24d']"
206,"['8a', '8b', '16c', '24d', '48e']"
207,"['1a', '1b', '3c', '3d', '6e', '6f', '8g', '12h', '12i', '12j', '24k']"
208,"['2a', '4b', '4c', '6d', '6e', '6f', '8g', '12h', '12i', '12j', '12k', '12l', '24m']"
209,"['4a', '4b', '8c', '24d', '24e', '32f', '48g', '48h', '48i', '96j']"
210,"['8a', '8b', '16c', '16d', '32e', '48f', '48g', '96h']"
211,"['2a', '6b', '8c', '12d', '12e', '16f', '24g', '24h', '24i', '48j']"
212,"['4a', '4b', '8c', '12d', '24e']"
213,"['4a', '4b', '8c', '12d', '24e']"
214,"['8a', '8b', '12c', '12d', '16e', '24f', '24g', '24h', '48i']"
215,"['1a', '1b', '3c', '3d', '4e', '6f', '6g', '12h', '12i', '24j']"
216,"['4a', '4b', '4c', '4d', '16e', '24f', '24g', '48h', '96i']"
217,"['2a', '6b', '8c', '12d', '12e', '24f', '24g', '48h']"
218,"['2a', '6b', '6c', '6d', '8e', '12f', '12g', '12h', '24i']"
219,"['8a', '8b', '24c', '24d', '32e', '48f', '48g', '96h']"
220,"['12a', '12b', '16c', '24d', '48e']"
221,"['1a', '1b', '3c', '3d', '6e', '6f', '8g', '12h', '12i', '12j', '24k', '24l', '24m', '48n']"
222,"['2a', '6b', '8c', '12d', '12e', '16f', '24g', '24h', '48i']"
223,"['2a', '6b', '6c', '6d', '8e', '12f', '12g', '12h', '16i', '24j', '24k', '48l']"
224,"['2a', '4b', '4c', '6d', '8e', '12f', '12g', '24h', '24i', '24j', '24k', '48l']"
225,"['4a', '4b', '8c', '24d', '24e', '32f', '48g', '48h', '48i', '96j', '96k', '192l']"
226,"['8a', '8b', '24c', '24d', '48e', '48f', '64g', '96h', '96i', '192j']"
227,"['8a', '8b', '16c', '16d', '32e', '48f', '96g', '96h', '192i']"
228,"['16a', '32b', '32c', '48d', '64e', '96f', '96g', '192h']"
229,"['2a', '6b', '8c', '12d', '12e', '16f', '24g', '24h', '48i', '48j', '48k', '96l']"
230,"['16a', '16b', '24c', '24d', '32e', '48f', '48g', '96h']"
